Tempo_ms,Movimento,LDR
188246,0,439
188390,0,386
188534,0,105
188678,0,347
188822,0,486
188966,0,180
189111,0,304
189254,0,536
189399,0,326
189543,0,97
189685,0,384
189830,1,477
189975,1,105
190120,1,237
190267,1,507
190412,1,420
190558,1,196
190703,1,468
190850,1,485
190995,1,92
191138,0,173
191283,0,464
191427,0,390
191571,0,117
191715,0,398
191859,0,459
192004,0,91
192146,0,154
192290,0,437
192435,0,376
192578,0,126
192722,0,298
192867,0,218
193011,0,96
193154,0,609
193298,0,566
193442,1,543
193588,1,523
193733,1,518
193879,1,515
194024,1,510
194170,1,508
194316,1,504
194461,1,504
194607,0,504
194751,0,505
194895,0,506
195039,0,509
195183,0,509
195328,0,512
195472,0,514
195616,0,514
195760,0,517
195904,0,518
196048,0,518
196193,0,522
196336,0,524
196481,0,526
196625,0,523
196769,0,518
196913,0,514
197057,0,511
197201,0,508
197346,1,507
197491,1,503
197637,1,498
197782,1,497
197928,1,496
198074,1,493
198219,1,493
198365,1,493
198511,0,494
198654,0,495
198799,0,497
198943,0,500
199088,0,502
199231,0,505
199375,0,493
199520,0,490
199664,0,490
199808,0,491
199952,0,492
200096,0,493
200241,0,494
200385,0,493
200528,0,493
200673,1,492
200818,1,492
200964,1,489
201110,1,486
201255,1,485
201401,1,483
201546,1,482
201693,1,483
201838,1,482
201984,1,482
202129,0,482
202273,0,481
202418,0,480
202562,0,477
202705,0,476
202850,0,477
202994,0,476
203139,0,476
203282,0,476
203426,0,476
203571,0,476
203715,0,478
203858,0,476
204003,0,475
204147,0,477
204292,0,476
204435,0,478
204579,0,480
204724,0,481
204868,0,481
205012,0,481
205156,0,481
205300,0,482
205445,0,480
205589,0,481
205732,0,480
205877,0,481
206021,0,482
206166,0,482
206309,0,483
206453,0,482
206598,0,483
206742,0,481
206885,0,482
207030,0,479
207174,0,478
207319,0,478
207463,0,481
207606,0,484
207751,0,486
207895,1,489
208040,1,492
208186,1,496
208331,1,497
208478,1,501
208623,1,502
208769,1,505
208914,1,507
209059,1,503
209206,1,501
209351,1,500
209497,1,500
209642,1,497
209788,1,496
209934,1,497
210079,1,497
210225,1,499
210370,1,500
210516,1,504
210662,1,508
210807,1,511
210953,1,510
211098,1,506
211245,1,504
211390,1,502
211535,1,500
211681,1,500
211827,1,500
211973,1,500
212118,1,498
212263,1,498
212409,1,496
212555,1,497
212701,1,496
212846,1,495
212992,1,495
213138,1,496
213283,1,496
213429,1,496
213574,1,496
213720,1,499
213866,0,504
214009,0,504
214154,0,503
214298,0,502
214443,0,499
214587,0,497
214730,0,494
214875,0,493
215019,0,494
215163,0,494
215307,0,495
215451,0,495
215596,0,498
215740,0,499
215883,0,502
216028,1,502
216173,1,504
216320,1,508
216465,1,513
216610,1,513
216756,1,513
216902,1,514
217048,1,512
217193,1,512
217338,1,511
217484,1,510
217630,1,511
217776,1,510
217921,1,506
218066,1,505
218212,1,503
218358,1,502
218504,1,501
218649,1,499
218795,1,499
218941,1,501
219086,1,500
219232,1,502
219377,1,503
219523,1,503
219669,1,500
219814,1,497
219960,1,498
220105,1,492
220251,1,491
220397,0,492
220540,0,491
220685,0,492
220829,0,492
220974,0,493
221118,0,494
221261,0,493
221406,0,492
221550,0,494
221694,0,495
221838,0,493
221982,0,495
222127,0,493
222271,0,493
222414,0,492
222559,0,495
222703,0,497
222848,0,500
222991,0,500
223135,1,499
223281,1,496
223427,1,496
223572,1,494
223718,1,490
223863,1,490
224010,1,490
224155,1,489
224301,1,490
224446,1,490
224591,1,487
224738,1,483
224883,1,480
225029,1,476
225174,1,475
225320,1,475
225466,1,475
225611,1,474
225757,1,473
225902,1,473
226049,1,473
226194,1,474
226339,1,475
226485,1,473
226630,1,473
226777,1,472
226922,1,473
227067,0,473
227212,0,473
227356,0,473
227500,0,474
227644,0,472
227788,0,475
227933,0,476
228076,0,475
228220,0,476
228365,0,477
228509,0,478
228654,0,479
228797,0,481
228941,0,482
229086,0,482
229230,0,484
229373,1,485
229520,1,484
229665,1,485
229811,1,485
229956,1,485
230102,1,485
230248,1,486
230393,1,483
230539,1,481
230684,0,482
230829,0,479
230973,0,480
231117,0,479
231261,0,480
231405,0,479
231549,0,480
231694,0,484
231838,0,488
231982,0,493
232126,0,496
232270,0,497
